datetime,temperature,humidity,usage
2019-01-01 00:00:00,-0.8,26.2,40.412
2019-01-01 00:15:00,-1.1,27.0,40.412
2019-01-01 00:30:00,-1.4,27.7,40.412
2019-01-01 00:45:00,-1.6,29.0,40.412
2019-01-01 01:00:00,-2.4,32.7,40.412
2019-01-01 01:15:00,-3.1,36.4,40.412
2019-01-01 01:30:00,-2.8,35.7,40.412
2019-01-01 01:45:00,-4.5,43.0,40.412
2019-01-01 02:00:00,-4.7,43.6,40.412
2019-01-01 02:15:00,-5.0,44.9,40.412
2019-01-01 02:30:00,-4.3,41.1,40.412
2019-01-01 02:45:00,-5.3,44.8,40.412
2019-01-01 03:00:00,-5.9,48.2,40.412
2019-01-01 03:15:00,-6.5,50.3,40.412
2019-01-01 03:30:00,-6.9,52.3,40.412
2019-01-01 03:45:00,-7.1,52.9,40.412
2019-01-01 04:00:00,-7.5,55.0,40.412
2019-01-01 04:15:00,-7.3,53.9,40.412
2019-01-01 04:30:00,-7.2,52.4,40.412
2019-01-01 04:45:00,-7.5,53.6,40.412
2019-01-01 05:00:00,-7.4,54.1,40.412
2019-01-01 05:15:00,-7.4,54.5,40.412
2019-01-01 05:30:00,-7.8,58.3,40.412
2019-01-01 05:45:00,-7.5,57.2,40.412
2019-01-01 06:00:00,-8.2,60.9,40.412
2019-01-01 06:15:00,-8.2,61.8,40.412
2019-01-01 06:30:00,-7.4,59.2,40.412
2019-01-01 06:45:00,-7.9,60.4,40.412
2019-01-01 07:00:00,-8.0,61.8,40.412
2019-01-01 07:15:00,-8.0,61.4,40.412
2019-01-01 07:30:00,-8.6,65.1,40.412
2019-01-01 07:45:00,-8.6,64.7,40.412
2019-01-01 08:00:00,-8.0,62.0,40.412
2019-01-01 08:15:00,-8.8,65.5,40.412
2019-01-01 08:30:00,-8.9,66.2,40.412
2019-01-01 08:45:00,-9.0,67.3,40.412
2019-01-01 09:00:00,-9.1,68.3,40.412
2019-01-01 09:15:00,-8.7,66.4,40.412
2019-01-01 09:30:00,-9.0,67.8,40.412
2019-01-01 09:45:00,-9.0,69.3,40.412
2019-01-01 10:00:00,-9.3,68.6,40.412
2019-01-01 10:15:00,-9.6,72.1,40.412
2019-01-01 10:30:00,-9.5,70.7,40.412
2019-01-01 10:45:00,-9.5,70.4,40.412
2019-01-01 11:00:00,-10.0,71.6,40.412
2019-01-01 11:15:00,-10.2,72.7,40.412
2019-01-01 11:30:00,-10.2,72.8,40.412
2019-01-01 11:45:00,-10.2,74.0,40.412
2019-01-01 12:00:00,-10.0,73.8,40.412
2019-01-01 12:15:00,-9.6,73.1,40.412
2019-01-01 12:30:00,-9.8,72.3,40.412
2019-01-01 12:45:00,-10.1,71.2,40.412
2019-01-01 13:00:00,-9.4,67.2,40.412
2019-01-01 13:15:00,-9.9,66.8,40.412
2019-01-01 13:30:00,-10.0,66.2,40.412
2019-01-01 13:45:00,-10.1,66.4,40.412
2019-01-01 14:00:00,-9.6,65.0,40.412
2019-01-01 14:15:00,-10.1,65.3,40.412
2019-01-01 14:30:00,-10.3,67.0,40.412
2019-01-01 14:45:00,-10.2,68.8,40.412
2019-01-01 15:00:00,-10.2,69.8,40.412
2019-01-01 15:15:00,-10.5,70.4,40.412
2019-01-01 15:30:00,-10.5,71.3,40.412
2019-01-01 15:45:00,-10.1,70.7,40.412
2019-01-01 16:00:00,-9.5,67.8,40.412
2019-01-01 16:15:00,-7.9,64.3,40.412
2019-01-01 16:30:00,-6.7,59.3,40.412
2019-01-01 16:45:00,-5.8,56.2,40.412
2019-01-01 17:00:00,-4.9,53.7,40.412
2019-01-01 17:15:00,-4.1,49.9,40.412
2019-01-01 17:30:00,-3.2,45.4,40.412
2019-01-01 17:45:00,-2.7,43.8,40.412
2019-01-01 18:00:00,-2.3,41.2,40.412
2019-01-01 18:15:00,-1.8,39.0,40.412
2019-01-01 18:30:00,-1.0,35.8,40.412
2019-01-01 18:45:00,-0.7,34.2,40.412
2019-01-01 19:00:00,-0.5,34.1,40.412
2019-01-01 19:15:00,0.1,32.8,40.412
2019-01-01 19:30:00,0.5,30.8,40.412
2019-01-01 19:45:00,0.9,28.8,40.412
2019-01-01 20:00:00,1.3,26.2,40.412
2019-01-01 20:15:00,1.8,22.5,40.412
